1667260803000,2.1362,2.1362,2.1362,2.1362,48;1667260803000,2.1362,2.1362,2.1362,2.1362,48;1667260803000,2.1362,2.1362,2.1362,2.1362,48
1667260803000,2.1362,2.1362,2.1362,2.1362,48;1667260803000,2.1362,2.1362,2.1362,2.1362,48;1667260803000,2.1362,2.1363,2.1363,2.1363,231
1667260803000,2.1362,2.1362,2.1362,2.1362,48;1667260803000,2.1362,2.1363,2.1363,2.1363,231;1667260804000,2.1363,2.1363,2.1363,2.1363,277
1667260803000,2.1362,2.1362,2.1362,2.1362,48;1667260803000,2.1362,2.1363,2.1363,2.1363,231;1667260804000,2.1363,2.1363,2.1363,2.1363,277
1667260803000,2.1362,2.1362,2.1362,2.1362,48;1667260803000,2.1362,2.1363,2.1363,2.1363,231;1667260804000,2.1363,2.1363,2.1363,2.1363,277
1667260803000,2.1362,2.1362,2.1362,2.1362,48;1667260803000,2.1362,2.1363,2.1363,2.1363,231;1667260804000,2.1363,2.1363,2.1363,2.1363,277
1667260803000,2.1362,2.1363,2.1363,2.1363,231;1667260804000,2.1363,2.1363,2.1363,2.1363,277;1667260806000,2.1363,2.1363,2.1363,2.1363,3
1667260804000,2.1363,2.1363,2.1363,2.1363,277;1667260806000,2.1363,2.1363,2.1363,2.1363,3;1667260808000,2.1364,2.1367,2.1364,2.1367,234
1667260804000,2.1363,2.1363,2.1363,2.1363,277;1667260806000,2.1363,2.1363,2.1363,2.1363,3;1667260808000,2.1364,2.1367,2.1364,2.1367,234
1667260804000,2.1363,2.1363,2.1363,2.1363,277;1667260806000,2.1363,2.1363,2.1363,2.1363,3;1667260808000,2.1364,2.1367,2.1364,2.1367,234
1667260804000,2.1363,2.1363,2.1363,2.1363,277;1667260806000,2.1363,2.1363,2.1363,2.1363,3;1667260808000,2.1364,2.1367,2.1364,2.1367,234
1667260804000,2.1363,2.1363,2.1363,2.1363,277;1667260806000,2.1363,2.1363,2.1363,2.1363,3;1667260808000,2.1364,2.1367,2.1364,2.1367,234
1667260806000,2.1363,2.1363,2.1363,2.1363,3;1667260808000,2.1364,2.1367,2.1364,2.1367,234;1667260813000,2.1359,2.1359,2.1359,2.1359,67
1667260806000,2.1363,2.1363,2.1363,2.1363,3;1667260808000,2.1364,2.1367,2.1364,2.1367,234;1667260813000,2.1359,2.136,2.1359,2.136,113
1667260808000,2.1364,2.1367,2.1364,2.1367,234;1667260813000,2.1359,2.136,2.1359,2.136,113;1667260815000,2.137,2.137,2.137,2.137,6
1667260813000,2.1359,2.136,2.1359,2.136,113;1667260815000,2.137,2.137,2.137,2.137,6;1667260816000,2.1372,2.1372,2.1372,2.1372,48
1667260813000,2.1359,2.136,2.1359,2.136,113;1667260815000,2.137,2.137,2.137,2.137,6;1667260816000,2.1372,2.1372,2.1372,2.1372,94
1667260813000,2.1359,2.136,2.1359,2.136,113;1667260815000,2.137,2.137,2.137,2.137,6;1667260816000,2.1372,2.1373,2.1372,2.1373,170
1667260813000,2.1359,2.136,2.1359,2.136,113;1667260815000,2.137,2.137,2.137,2.137,6;1667260816000,2.1372,2.1375,2.1372,2.1375,173
1667260815000,2.137,2.137,2.137,2.137,6;1667260816000,2.1372,2.1375,2.1372,2.1375,173;1667260817000,2.1382,2.1382,2.1382,2.1382,22
